,2,5,10,16,25,50
Linear_reg_x,0.75,0.8,0.97,0.97,0.97,0.97
Linear_reg_y,0.75,0.8,0.97,0.97,0.97,0.97
Double_reg,0.75,0.8,0.97,0.97,0.97,0.97
Linear_reg_x_z,0.75,0.8,0.97,0.97,0.97,0.97
Linear_reg_y_z,0.75,0.8,0.97,0.97,0.97,0.97
Double_reg_z,0.75,0.8,0.97,0.97,0.97,0.97
