,2,5,10,16,25,50
Linear_reg_x,0.95,1.0,1.0,0.9,0.93,0.84
Linear_reg_y,0.95,1.0,1.0,1.0,1.0,1.0
Double_reg,0.95,1.0,1.0,1.0,1.0,1.0
Linear_reg_x_z,0.39,0.58,0.75,0.75,0.75,0.75
Linear_reg_y_z,0.94,1.0,1.0,1.0,1.0,1.0
Double_reg_z,0.77,0.97,1.0,1.0,1.0,1.0
