,2,5,10,16,25,50
Linear_reg_x,0.29,0.43,0.45,0.12,0.07,0.06
Linear_reg_y,0.29,0.43,0.45,0.23,0.16,0.15
Double_reg,0.29,0.43,0.45,0.16,0.12,0.08
Linear_reg_x_z,0.09,0.06,0.05,0.05,0.05,0.05
Linear_reg_y_z,0.09,0.11,0.13,0.13,0.13,0.13
Double_reg_z,0.09,0.1,0.06,0.06,0.06,0.06
