,2,5,10,16,25,50
Linear_reg_x,0.31,0.51,0.63,0.27,0.23,0.21
Linear_reg_y,0.31,0.51,0.63,0.14,0.1,0.07
Double_reg,0.31,0.51,0.63,0.18,0.14,0.14
Linear_reg_x_z,0.06,0.11,0.19,0.19,0.19,0.19
Linear_reg_y_z,0.05,0.04,0.05,0.05,0.05,0.05
Double_reg_z,0.05,0.08,0.14,0.14,0.14,0.14
