,2,5,10,16,25,50
Linear_reg_x,0.19,0.58,0.64,0.06,0.06,0.05
Linear_reg_y,0.19,0.58,0.64,0.19,0.12,0.15
Double_reg,0.19,0.58,0.64,0.11,0.1,0.07
Linear_reg_x_z,0.06,0.04,0.03,0.03,0.03,0.03
Linear_reg_y_z,0.09,0.11,0.15,0.15,0.15,0.15
Double_reg_z,0.09,0.08,0.08,0.08,0.08,0.08
