,2,5,10,16,25,50
Linear_reg_x,1.0,1.0,1.0,1.0,1.0,1.0
Linear_reg_y,1.0,1.0,1.0,0.58,0.49,0.16
Double_reg,1.0,1.0,1.0,1.0,1.0,1.0
Linear_reg_x_z,0.63,0.76,0.81,0.81,0.81,0.81
Linear_reg_y_z,0.0,0.0,0.0,0.0,0.0,0.0
Double_reg_z,0.2,0.18,0.18,0.18,0.18,0.18
