,2,5,10,16,25,50
Linear_reg_x,1.0,1.0,0.98,0.56,0.32,0.12
Linear_reg_y,1.0,1.0,0.98,0.93,0.67,0.33
Double_reg,1.0,1.0,0.98,0.82,0.54,0.22
Linear_reg_x_z,0.04,0.03,0.01,0.01,0.01,0.01
Linear_reg_y_z,0.1,0.13,0.16,0.16,0.16,0.16
Double_reg_z,0.06,0.06,0.07,0.07,0.07,0.07
