,2,5,10,16,25,50
Linear_reg_x,0.04,0.07,0.07,0.07,0.05,0.05
Linear_reg_y,0.04,0.07,0.07,0.13,0.15,0.13
Double_reg,0.04,0.07,0.07,0.07,0.08,0.07
Linear_reg_x_z,0.05,0.07,0.05,0.05,0.05,0.05
Linear_reg_y_z,0.06,0.13,0.14,0.14,0.14,0.14
Double_reg_z,0.05,0.09,0.09,0.09,0.09,0.09
