,2,5,10,16,25,50
Linear_reg_x,0.21,0.54,0.46,0.09,0.05,0.06
Linear_reg_y,0.21,0.54,0.46,0.24,0.14,0.16
Double_reg,0.21,0.54,0.46,0.17,0.06,0.11
Linear_reg_x_z,0.2,0.26,0.07,0.07,0.07,0.07
Linear_reg_y_z,0.2,0.26,0.24,0.24,0.24,0.24
Double_reg_z,0.2,0.26,0.13,0.13,0.13,0.13
