,2,5,10,16,25,50
Linear_reg_x,0.48,0.71,0.94,0.93,0.93,0.92
Linear_reg_y,0.48,0.71,0.94,0.91,0.91,0.91
Double_reg,0.48,0.71,0.95,0.91,0.92,0.91
Linear_reg_x_z,0.48,0.7,0.92,0.92,0.92,0.92
Linear_reg_y_z,0.46,0.68,0.91,0.91,0.91,0.91
Double_reg_z,0.46,0.68,0.92,0.92,0.92,0.92
