,2,5,10,16,25,50
Linear_reg_x,0.64,0.95,1.0,0.25,0.18,0.17
Linear_reg_y,0.64,0.95,1.0,0.74,0.56,0.36
Double_reg,0.64,0.95,1.0,0.41,0.46,0.48
Linear_reg_x_z,0.04,0.02,0.04,0.04,0.04,0.04
Linear_reg_y_z,0.07,0.08,0.11,0.11,0.11,0.11
Double_reg_z,0.13,0.17,0.16,0.16,0.16,0.16
