,2,5,10,16,25,50
Linear_reg_x,0.68,0.94,1.0,0.29,0.25,0.14
Linear_reg_y,0.68,0.94,1.0,0.7,0.53,0.32
Double_reg,0.68,0.94,1.0,0.53,0.35,0.18
Linear_reg_x_z,0.06,0.03,0.04,0.04,0.04,0.04
Linear_reg_y_z,0.1,0.13,0.17,0.17,0.17,0.17
Double_reg_z,0.05,0.07,0.11,0.11,0.11,0.11
