,normal,normal_large,normal_small,skewed_normal
Cor_kernel,0.0,0.0,0.0,0.0
Linear_reg_x,0.97,0.95,1.0,0.84
Linear_reg_y,0.95,0.95,0.75,0.74
Double_reg,0.96,0.95,0.98,0.77
Cor_kernel_sub,0.0,0.0,0.0,0.0
Linear_reg_x_sub,0.88,0.82,0.96,0.56
Linear_reg_y_sub,0.81,0.81,0.51,0.47
Double_reg_sub,0.83,0.82,0.91,0.51
