,2,4,6,10,25
Cor_kernel,0.0,0.0,0.0,0.18,0.02
Linear_reg_x,0.06,0.07,0.07,0.06,0.06
Linear_reg_y,0.06,0.06,0.04,0.03,0.03
Double_reg,0.06,0.06,0.05,0.04,0.04
double_Cor_kernel,0.0,0.0,0.0,0.0,0.0
Linear_reg_x_sub,0.21,0.07,0.04,0.06,0.05
Linear_reg_y_sub,0.01,0.03,0.03,0.03,0.05
Double_reg_sub,0.09,0.05,0.03,0.05,0.05
