,p
Cor_kernel,0.0
Linear_reg_x,0.84
Linear_reg_y,0.78
Double_reg,0.75
double_Cor_kernel,0.0
Linear_reg_x_sub,0.84
Linear_reg_y_sub,0.78
Double_reg_sub,0.75
