,2,4,6,10,25
Cor_kernel,0.0,0.0,0.0,0.0,0.06
Linear_reg_x,0.74,0.93,1.0,0.99,0.99
Linear_reg_y,0.67,0.9,1.0,0.99,0.99
Double_reg,0.67,0.85,0.94,0.85,0.85
double_Cor_kernel,0.0,0.0,0.0,0.0,0.0
Linear_reg_x_sub,0.16,0.45,0.67,0.95,0.95
Linear_reg_y_sub,0.14,0.37,0.64,0.94,0.94
Double_reg_sub,0.13,0.37,0.62,0.83,0.83
