,2,4,6,10,25
Cor_kernel,0.0,0.0,0.01,0.01,0.04
Linear_reg_x,0.1,0.17,0.17,0.19,0.19
Linear_reg_y,0.03,0.06,0.04,0.04,0.04
Double_reg,0.17,0.18,0.18,0.24,0.24
double_Cor_kernel,0.0,0.0,0.0,0.0,0.0
Linear_reg_x_sub,0.01,0.05,0.08,0.11,0.11
Linear_reg_y_sub,0.0,0.0,0.01,0.0,0.0
Double_reg_sub,0.04,0.07,0.08,0.1,0.1
