,normal,normal_large,normal_small,skewed_normal
Cor_kernel,0.03,0.04,0.0,0.03
Linear_reg_x,0.99,0.99,1.0,0.84
Linear_reg_y,0.98,0.99,0.81,0.78
Double_reg,0.99,0.99,1.0,0.81
double_Cor_kernel,0.04,0.07,0.0,0.02
Linear_reg_x_sub,1.0,1.0,1.0,0.95
Linear_reg_y_sub,1.0,1.0,0.96,0.94
Double_reg_sub,1.0,1.0,1.0,0.94
