,normal,normal_large,normal_small,chi,t,exp,uni,poi,skewed_normal,skewed_t
Cor_kernel,0.0,0.01,0.02,0.03,0.0,0.0,0.0,0.01,0.01,0.03
Linear_reg_x,0.1,0.09,0.7,0.1,0.08,0.12,0.12,0.09,0.13,0.06
Linear_reg_y,0.06,0.09,0.0,0.1,0.07,0.08,0.06,0.07,0.11,0.06
Double_reg,0.07,0.09,0.12,0.1,0.08,0.11,0.07,0.08,0.11,0.06
double_Cor_kernel,0.0,0.02,0.02,0.02,0.0,0.0,0.0,0.01,0.01,0.03
Linear_reg_x_sub,0.1,0.08,0.79,0.05,0.08,0.1,0.14,0.09,0.09,0.03
Linear_reg_y_sub,0.05,0.09,0.0,0.04,0.08,0.05,0.06,0.06,0.05,0.04
Double_reg_sub,0.08,0.08,0.13,0.05,0.08,0.09,0.06,0.08,0.06,0.04
