,normal,normal_large,normal_small,chi,t,exp,uni,poi,skewed_normal,skewed_t
Cor_kernel,0.04,0.06,0.09,0.11,0.02,0.04,0.04,0.08,0.12,0.06
Linear_reg_x,0.09,0.09,0.82,0.07,0.1,0.1,0.13,0.12,0.08,0.02
Linear_reg_y,0.04,0.09,0.0,0.06,0.1,0.06,0.04,0.1,0.07,0.02
Double_reg,0.06,0.09,0.14,0.06,0.1,0.07,0.06,0.11,0.07,0.02
double_Cor_kernel,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01
Linear_reg_x_sub,0.1,0.12,0.18,0.04,0.08,0.06,0.06,0.06,0.06,0.05
Linear_reg_y_sub,0.1,0.12,0.07,0.04,0.08,0.05,0.05,0.05,0.06,0.05
Double_reg_sub,0.1,0.12,0.11,0.04,0.08,0.05,0.05,0.06,0.06,0.05
