,normal,normal_large,normal_small,chi,t,exp,uni,poi,skewed_normal,skewed_t
Cor_kernel,0.06,0.07,0.03,0.0,0.0,0.0,0.03,0.0,0.01,0.05
Linear_reg_x,0.13,0.04,0.57,0.1,0.1,0.09,0.14,0.1,0.12,0.08
Linear_reg_y,0.08,0.04,0.0,0.1,0.1,0.09,0.06,0.08,0.12,0.07
Double_reg,0.11,0.05,0.1,0.11,0.09,0.09,0.11,0.08,0.13,0.06
Cor_kernel_sub,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01
Linear_reg_x_sub,0.1,0.05,0.56,0.06,0.04,0.05,0.09,0.02,0.09,0.05
Linear_reg_y_sub,0.09,0.05,0.0,0.06,0.04,0.05,0.05,0.02,0.08,0.07
Double_reg_sub,0.09,0.05,0.06,0.06,0.04,0.05,0.07,0.02,0.08,0.06
