,normal,normal_large,normal_small,skewed_normal
Cor_kernel,0.0,0.0,0.0,0.0
Linear_reg_x,0.81,0.76,0.98,0.49
Linear_reg_y,0.73,0.75,0.51,0.44
Double_reg,0.79,0.77,0.88,0.47
double_Cor_kernel,0.0,0.0,0.0,0.0
Linear_reg_x_sub,1.0,1.0,1.0,0.98
Linear_reg_y_sub,0.99,0.99,0.35,0.87
Double_reg_sub,1.0,0.99,1.0,0.96
