,p
Cor_kernel,0.03
Linear_reg_x,0.99
Linear_reg_y,0.98
Double_reg,0.99
double_Cor_kernel,0.0
Linear_reg_x_sub,0.99
Linear_reg_y_sub,0.98
Double_reg_sub,0.99
