,2,4,6,10,25
Cor_kernel,0.0,0.0,0.02,0.08,0.08
Linear_reg_x,1.0,1.0,1.0,1.0,1.0
Linear_reg_y,0.23,0.27,0.26,0.15,0.15
Double_reg,0.96,1.0,1.0,1.0,1.0
double_Cor_kernel,0.0,0.0,0.0,0.0,0.0
Linear_reg_x_sub,0.45,0.7,0.84,0.96,0.96
Linear_reg_y_sub,0.04,0.07,0.09,0.14,0.14
Double_reg_sub,0.52,0.72,0.85,0.95,0.95
