,2,4,6,10,25
Cor_kernel,0.0,0.0,0.0,0.01,0.03
Linear_reg_x,0.25,0.27,0.37,0.41,0.41
Linear_reg_y,0.05,0.0,0.01,0.0,0.0
Double_reg,0.12,0.09,0.09,0.08,0.08
double_Cor_kernel,0.0,0.0,0.0,0.0,0.0
Linear_reg_x_sub,0.52,0.28,0.19,0.12,0.01
Linear_reg_y_sub,0.0,0.01,0.05,0.07,0.01
Double_reg_sub,0.12,0.12,0.08,0.09,0.01
