,p
Cor_kernel,0.14
Linear_reg_x,1.0
Linear_reg_y,0.97
Double_reg,1.0
double_Cor_kernel,0.0
Linear_reg_x_sub,1.0
Linear_reg_y_sub,0.97
Double_reg_sub,1.0
