,normal,normal_large,normal_small,skewed_normal
Cor_kernel,0.09,0.23,0.09,0.02
Linear_reg_x,1.0,1.0,1.0,1.0
Linear_reg_y,1.0,1.0,1.0,1.0
Double_reg,1.0,1.0,1.0,0.98
Cor_kernel_sub,0.0,0.0,0.0,0.0
Linear_reg_x_sub,1.0,0.99,1.0,0.92
Linear_reg_y_sub,0.99,0.99,0.93,0.86
Double_reg_sub,1.0,0.99,1.0,0.86
