,2,4,6,10,25
Cor_kernel,0.0,0.0,0.0,0.0,0.0
Linear_reg_x,0.59,0.67,0.69,0.58,0.58
Linear_reg_y,0.56,0.63,0.59,0.31,0.31
Double_reg,0.58,0.67,0.66,0.49,0.49
double_Cor_kernel,0.0,0.0,0.0,0.0,0.0
Linear_reg_x_sub,0.71,0.23,0.13,0.05,0.0
Linear_reg_y_sub,0.38,0.12,0.06,0.02,0.0
Double_reg_sub,0.58,0.17,0.09,0.03,0.0
