,2,4,6,10,25
Cor_kernel,0.0,0.0,0.01,0.05,0.13
Linear_reg_x,0.44,0.7,0.87,0.95,0.95
Linear_reg_y,0.43,0.69,0.87,0.94,0.94
Double_reg,0.44,0.7,0.87,0.94,0.94
double_Cor_kernel,0.0,0.0,0.02,0.05,0.0
Linear_reg_x_sub,0.97,0.94,0.95,0.92,0.59
Linear_reg_y_sub,0.94,0.94,0.95,0.92,0.59
Double_reg_sub,0.95,0.94,0.95,0.92,0.59
