,p
Cor_kernel,0.0
Linear_reg_x,0.08
Linear_reg_y,0.95
Double_reg,0.47
double_Cor_kernel,0.0
Linear_reg_x_sub,0.08
Linear_reg_y_sub,0.95
Double_reg_sub,0.47
