,normal,normal_large,normal_small,skewed_normal
Cor_kernel,0.3,0.4,0.4,0.1
Linear_reg_x,1.0,1.0,1.0,1.0
Linear_reg_y,1.0,1.0,1.0,1.0
Double_reg,1.0,1.0,1.0,0.9
Cor_kernel_sub,0.05,0.1,0.01,0.0
Linear_reg_x_sub,1.0,1.0,1.0,1.0
Linear_reg_y_sub,1.0,1.0,1.0,1.0
Double_reg_sub,1.0,1.0,1.0,0.93
