,2,4,6,10,25
Cor_kernel,0.0,0.0,0.0,0.0,0.02
Linear_reg_x,0.11,0.14,0.14,0.08,0.08
Linear_reg_y,0.04,0.05,0.1,0.05,0.05
Double_reg,0.07,0.11,0.13,0.07,0.07
double_Cor_kernel,0.0,0.0,0.0,0.0,0.0
Linear_reg_x_sub,0.09,0.09,0.08,0.1,0.1
Linear_reg_y_sub,0.03,0.08,0.06,0.05,0.05
Double_reg_sub,0.05,0.09,0.07,0.08,0.08
