,normal,normal_large,normal_small,chi,t,exp,uni,poi,skewed_normal,skewed_t
Cor_kernel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Linear_reg_x,0.11,0.02,0.41,0.05,0.07,0.07,0.12,0.07,0.08,0.07
Linear_reg_y,0.09,0.02,0.0,0.05,0.07,0.07,0.11,0.07,0.06,0.07
Double_reg,0.1,0.02,0.08,0.05,0.07,0.07,0.12,0.07,0.06,0.07
Cor_kernel_sub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Linear_reg_x_sub,0.04,0.03,0.33,0.03,0.01,0.05,0.1,0.03,0.05,0.03
Linear_reg_y_sub,0.01,0.03,0.0,0.05,0.01,0.04,0.09,0.03,0.04,0.03
Double_reg_sub,0.04,0.03,0.07,0.04,0.01,0.05,0.1,0.03,0.03,0.03
