,normal,normal_large,normal_small,skewed_normal
Cor_kernel,0.0,0.0,0.0,0.0
Linear_reg_x,0.97,0.95,1.0,0.84
Linear_reg_y,0.95,0.95,0.75,0.74
Double_reg,0.96,0.95,0.98,0.77
Cor_kernel_sub,0.0,0.0,0.0,0.0
Linear_reg_x_sub,0.95,0.87,1.0,0.68
Linear_reg_y_sub,0.84,0.87,0.69,0.65
Double_reg_sub,0.92,0.86,0.96,0.65
