,normal,normal_large,normal_small,chi,t,exp,uni,poi,skewed_normal,skewed_t
Cor_kernel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Linear_reg_x,0.09,0.08,0.58,0.06,0.06,0.07,0.15,0.07,0.11,0.08
Linear_reg_y,0.08,0.08,0.01,0.06,0.05,0.07,0.11,0.07,0.12,0.08
Double_reg,0.08,0.08,0.15,0.06,0.06,0.07,0.13,0.07,0.12,0.08
double_Cor_kernel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Linear_reg_x_sub,0.1,0.09,0.83,0.06,0.12,0.13,0.22,0.09,0.1,0.04
Linear_reg_y_sub,0.06,0.09,0.0,0.04,0.12,0.04,0.03,0.05,0.04,0.04
Double_reg_sub,0.08,0.09,0.13,0.05,0.12,0.1,0.11,0.07,0.09,0.04
