,p
Cor_kernel,0.1
Linear_reg_x,1.0
Linear_reg_y,1.0
Double_reg,1.0
double_Cor_kernel,0.02
Linear_reg_x_sub,1.0
Linear_reg_y_sub,1.0
Double_reg_sub,1.0
