,2,4,6,10,25,50
Cor_kernel,0.0,0.0,0.0,0.12,0.08,0.06
Cor_kernel_2,0.0,0.0,0.0,0.11,0.07,0.06
Linear_reg,0.08,0.03,0.06,0.08,0.08,0.08
Double_reg,0.08,0.03,0.06,0.08,0.08,0.08
