,X1,X2,X3,X4,X5
X1,0.0,1.0,0.06,0.04,0.02666666666666667
X2,1.0,0.0,0.98,0.013333333333333334,0.02
X3,0.06,0.98,0.0,0.9933333333333333,0.013333333333333334
X4,0.04,0.013333333333333334,0.9933333333333333,0.0,1.0
X5,0.02666666666666667,0.02,0.013333333333333334,1.0,0.0
