,2,4,6,10,25,50
Cor_kernel,0.0,0.0,0.01,0.155,0.095,0.355
Cor_kernel_2,0.0,0.0,0.01,0.155,0.095,0.355
Linear_reg,0.01,0.005,0.0,0.0,0.0,0.0
Double_reg,0.15,0.145,0.16,0.145,0.145,0.145
