,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
X1,0.0,0.5533333333333333,0.2,0.06,0.04666666666666667,0.02666666666666667,0.013333333333333334,0.02,0.013333333333333334,0.04
X2,0.5533333333333333,0.0,0.44,0.11333333333333333,0.03333333333333333,0.02,0.013333333333333334,0.013333333333333334,0.006666666666666667,0.013333333333333334
X3,0.2,0.44,0.0,0.22666666666666666,0.07333333333333333,0.03333333333333333,0.02,0.013333333333333334,0.02,0.02
X4,0.06,0.11333333333333333,0.22666666666666666,0.0,0.22666666666666666,0.04,0.02666666666666667,0.02,0.02666666666666667,0.02
X5,0.04666666666666667,0.03333333333333333,0.07333333333333333,0.22666666666666666,0.0,0.22,0.04666666666666667,0.02666666666666667,0.006666666666666667,0.02
X6,0.02666666666666667,0.02,0.03333333333333333,0.04,0.22,0.0,0.20666666666666667,0.03333333333333333,0.02,0.0
X7,0.013333333333333334,0.013333333333333334,0.02,0.02666666666666667,0.04666666666666667,0.20666666666666667,0.0,0.21333333333333335,0.05333333333333334,0.03333333333333333
X8,0.02,0.013333333333333334,0.013333333333333334,0.02,0.02666666666666667,0.03333333333333333,0.21333333333333335,0.0,0.2,0.12666666666666668
X9,0.013333333333333334,0.006666666666666667,0.02,0.02666666666666667,0.006666666666666667,0.02,0.05333333333333334,0.2,0.0,0.44
X10,0.04,0.013333333333333334,0.02,0.02,0.02,0.0,0.03333333333333333,0.12666666666666668,0.44,0.0
