,2,4,6,10,25,50
Cor_kernel,0.0,0.01,0.01,0.02,0.06,0.08
Cor_kernel_2,0.0,0.01,0.01,0.02,0.06,0.1
Linear_reg,0.12,0.11,0.08,0.07,0.07,0.07
Double_reg,0.09,0.06,0.08,0.04,0.04,0.04
