,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20
X1,0.0,0.68,0.32666666666666666,0.2733333333333333,0.14,0.1,0.05333333333333334,0.02666666666666667,0.03333333333333333,0.05333333333333334,0.013333333333333334,0.04666666666666667,0.02,0.02,0.03333333333333333,0.03333333333333333,0.05333333333333334,0.04,0.02666666666666667,0.04666666666666667
X2,0.68,0.0,0.5666666666666667,0.38666666666666666,0.16666666666666666,0.06,0.08666666666666667,0.04,0.04666666666666667,0.08666666666666667,0.02666666666666667,0.03333333333333333,0.013333333333333334,0.02,0.03333333333333333,0.03333333333333333,0.02,0.04666666666666667,0.04666666666666667,0.006666666666666667
X3,0.32666666666666666,0.5666666666666667,0.0,0.5466666666666666,0.24,0.17333333333333334,0.1,0.03333333333333333,0.02666666666666667,0.03333333333333333,0.013333333333333334,0.02,0.006666666666666667,0.03333333333333333,0.02666666666666667,0.02666666666666667,0.02666666666666667,0.02666666666666667,0.03333333333333333,0.03333333333333333
X4,0.2733333333333333,0.38666666666666666,0.5466666666666666,0.0,0.49333333333333335,0.28,0.13333333333333333,0.1,0.03333333333333333,0.006666666666666667,0.02666666666666667,0.013333333333333334,0.02666666666666667,0.04666666666666667,0.04,0.02666666666666667,0.0,0.02666666666666667,0.02,0.02
X5,0.14,0.16666666666666666,0.24,0.49333333333333335,0.0,0.42,0.16666666666666666,0.12666666666666668,0.09333333333333334,0.02666666666666667,0.02,0.03333333333333333,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.006666666666666667,0.02666666666666667,0.02666666666666667,0.013333333333333334
X6,0.1,0.06,0.17333333333333334,0.28,0.42,0.0,0.4,0.18666666666666668,0.09333333333333334,0.06666666666666667,0.02,0.03333333333333333,0.0,0.006666666666666667,0.05333333333333334,0.0,0.013333333333333334,0.013333333333333334,0.02,0.02
X7,0.05333333333333334,0.08666666666666667,0.1,0.13333333333333333,0.16666666666666666,0.4,0.0,0.36666666666666664,0.17333333333333334,0.09333333333333334,0.04,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.02666666666666667,0.006666666666666667,0.006666666666666667,0.04,0.0,0.006666666666666667
X8,0.02666666666666667,0.04,0.03333333333333333,0.1,0.12666666666666668,0.18666666666666668,0.36666666666666664,0.0,0.3466666666666667,0.14666666666666667,0.08,0.06,0.02,0.013333333333333334,0.013333333333333334,0.006666666666666667,0.013333333333333334,0.02666666666666667,0.03333333333333333,0.02
X9,0.03333333333333333,0.04666666666666667,0.02666666666666667,0.03333333333333333,0.09333333333333334,0.09333333333333334,0.17333333333333334,0.3466666666666667,0.0,0.30666666666666664,0.18666666666666668,0.05333333333333334,0.02666666666666667,0.02666666666666667,0.02,0.006666666666666667,0.02,0.013333333333333334,0.03333333333333333,0.02666666666666667
X10,0.05333333333333334,0.08666666666666667,0.03333333333333333,0.006666666666666667,0.02666666666666667,0.06666666666666667,0.09333333333333334,0.14666666666666667,0.30666666666666664,0.0,0.29333333333333333,0.13333333333333333,0.07333333333333333,0.013333333333333334,0.006666666666666667,0.03333333333333333,0.006666666666666667,0.006666666666666667,0.02,0.03333333333333333
