,2,4,6,10,25,50
Cor_kernel,0.0,0.0,0.0,0.0,0.06,0.06
Cor_kernel_2,0.0,0.0,0.0,0.0,0.06,0.06
Linear_reg,0.11,0.09,0.06,0.04,0.04,0.04
Double_reg,0.14,0.11,0.1,0.06,0.06,0.06
