,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
X1,0.0,1.0,0.08,0.1,0.10666666666666667,0.08666666666666667,0.11333333333333333,0.1,0.1,0.08
X2,1.0,0.0,1.0,0.13333333333333333,0.1,0.09333333333333334,0.07333333333333333,0.09333333333333334,0.12,0.08
X3,0.08,1.0,0.0,1.0,0.07333333333333333,0.08666666666666667,0.07333333333333333,0.1,0.1,0.08
X4,0.1,0.13333333333333333,1.0,0.0,1.0,0.06666666666666667,0.09333333333333334,0.1,0.08666666666666667,0.08666666666666667
X5,0.10666666666666667,0.1,0.07333333333333333,1.0,0.0,1.0,0.08,0.12,0.13333333333333333,0.11333333333333333
X6,0.08666666666666667,0.09333333333333334,0.08666666666666667,0.06666666666666667,1.0,0.0,1.0,0.1,0.04666666666666667,0.05333333333333334
X7,0.11333333333333333,0.07333333333333333,0.07333333333333333,0.09333333333333334,0.08,1.0,0.0,0.9933333333333333,0.06666666666666667,0.06666666666666667
X8,0.1,0.09333333333333334,0.1,0.1,0.12,0.1,0.9933333333333333,0.0,1.0,0.06666666666666667
X9,0.1,0.12,0.1,0.08666666666666667,0.13333333333333333,0.04666666666666667,0.06666666666666667,1.0,0.0,1.0
X10,0.08,0.08,0.08,0.08666666666666667,0.11333333333333333,0.05333333333333334,0.06666666666666667,0.06666666666666667,1.0,0.0
