,2,5,10,16,25
Cor_kernel,0.0,0.0,0.0,0.07,0.13
Linear_reg_x,0.08,0.12,0.13,0.51,1.0
Linear_reg_y,0.08,0.12,0.13,0.0,1.0
Double_reg,0.08,0.12,0.13,0.1,1.0
double_Cor_kernel,0.0,0.0,0.02,0.04,0.13
Linear_reg_x_sub,0.08,0.06,0.06,0.21,1.0
Linear_reg_y_sub,0.08,0.06,0.06,0.0,1.0
Double_reg_sub,0.08,0.06,0.06,0.07,1.0
