,2,5,10,16,25
Cor_kernel,0.0,0.01,0.11,0.05,0.04
Linear_reg_x,0.71,0.96,1.0,0.77,0.65
Linear_reg_y,0.71,0.96,1.0,0.05,0.0
Double_reg,0.71,0.96,1.0,0.41,0.23
double_Cor_kernel,0.0,0.01,0.06,0.01,0.0
Linear_reg_x_sub,1.0,1.0,0.62,0.2,0.08
Linear_reg_y_sub,1.0,1.0,0.62,0.2,0.08
Double_reg_sub,1.0,1.0,0.62,0.2,0.08
