,2,5,10,20
Cor_kernel,0.0,0.05,0.07,0.42
Linear_reg_x,0.99,1.0,1.0,1.0
Linear_reg_y,0.99,1.0,1.0,0.86
Double_reg,0.99,1.0,1.0,1.0
double_Cor_kernel,0.0,0.0,0.0,0.0
Linear_reg_x_sub,1.0,0.99,0.4,0.03
Linear_reg_y_sub,1.0,0.99,0.4,0.03
Double_reg_sub,1.0,0.99,0.4,0.03
