,2,5,10,20
Cor_kernel,0.0,0.01,0.03,0.04
Linear_reg_x,0.19,0.23,0.19,1.0
Linear_reg_y,0.19,0.23,0.19,0.87
Double_reg,0.19,0.23,0.19,0.98
double_Cor_kernel,0.0,0.0,0.02,0.0
Linear_reg_x_sub,0.9,0.0,0.0,0.48
Linear_reg_y_sub,0.9,0.0,0.0,0.48
Double_reg_sub,0.9,0.0,0.0,0.48
