,2,5,10,16,25
Cor_kernel,0.0,0.03,0.2,0.73,0.68
Linear_reg_x,1.0,1.0,1.0,1.0,1.0
Linear_reg_y,1.0,1.0,1.0,0.14,0.24
Double_reg,1.0,1.0,1.0,1.0,1.0
double_Cor_kernel,0.0,0.03,0.01,0.0,0.0
Linear_reg_x_sub,1.0,1.0,1.0,0.99,0.48
Linear_reg_y_sub,1.0,1.0,1.0,0.99,0.48
Double_reg_sub,1.0,1.0,1.0,0.99,0.48
