,2,5,10,20
Cor_kernel,0.0,0.0,0.07,0.53
Linear_reg_x,1.0,1.0,1.0,1.0
Linear_reg_y,1.0,1.0,1.0,0.81
Double_reg,1.0,1.0,1.0,1.0
double_Cor_kernel,0.0,0.0,0.0,0.0
Linear_reg_x_sub,1.0,1.0,0.59,0.07
Linear_reg_y_sub,1.0,1.0,0.59,0.07
Double_reg_sub,1.0,1.0,0.59,0.07
